"kanji","hanviet","radical","stroke","onyomi","level","kunyomi","meaning"
男,NAM,ĐIỀN【田】,7,ダン、ナン,N5,おとこ,"đàn ông, nam giới"
足,TÚC,TÚC【足】,7,ソク,N5,あし、た.る/いる、た.す,"chân, bổ túc, sung túc"
社,XÃ,THỊ【示】,7,シャ,N5,やしろ,"xã hội, công xã, hợp tác xã"
車,XA,XA【車】,7,シャ,N5,くるま,"xe cộ, xa lộ"
見,KIẾN,KIẾN【見】,7,ケン,N5,み.る、み.える、み.えす,ý kiến
言,NGÔN,NGÔN【言】,7,ゲン、ゴン,N5,#NAME?,"ngôn ngữ, ngôn luận, phát ngôn"
花,HOA,THẢO【艸】,7,カ、ケ,N5,はな,"hoa, bông hoa"
何,HÀ,NHÂN【人】,7,カ,N5,なに、なん,"cái gì, hà cớ"
雨,"VŨ,VÚ",VŨ【雨】,8,ウ,N5,あめ、あま、ふ.る、ふ.らす、うるお.す,mưa
学,HỌC,TỬ【子】,8,ガク,N5,まな.ぶ,"học sinh, học thuyết"
空,"KHÔNG,KHỐNG",HUYỆT【穴】,8,クウ,N5,そら、あ.ける/く、から,"không khí, hư không, hàng không"
金,KIM,KIM【金】,8,キン、コン、ゴン,N5,かね、かな,"hoàng kim, kim ngân"
国,QUỐC,VI【囗】,8,コク,N5,くに、くな、こ,"nước, quốc gia, quốc ca"
長,TRƯỜNG,TRƯỜNG【長】,8,チョウ,N5,なが.い,"""trường giang, sở trường; hiệu trưởng"""
店,ĐIẾM,NGHIỄM【广】,8,テン,N5,みせ,"cửa hàng, tửu điếm"
東,ĐÔNG,PHIỆT【丿】,8,トウ,N5,ひがし,phía đông
南,NAM,THẬP【十】,9,ナン、ナ,N5,みなみ,phương nam
前,TIỀN,BÁT【八】,9,ゼン,N5,まえ,"trước, tiền sử, tiền chiến, mặt tiền"
食,THỰC,THỰC【食】,9,ショク、ジキ,N5,た.べる、く.う、く.らう,"ẩm thực, thực đường"
後,HẬU,SÁCH【彳】,9,ゴ、コウ,N5,のち、こう、うし.ろ、あと、おく.れる,"sau, hậu quả, hậu sự"
高,CAO,CAO【高】,10,コウ,N5,たか.い、たか、たか.まる、たか.める,"cao đẳng, cao thượng"
校,"HIỆU,GIÁO",MỘC【木】,10,コウ、キョウ,N5,"",trường học
時,"THỜI,THÌ",NHẬT【日】,10,ジ,N5,とき,thời gian
書,THƯ,DUẬT【聿】,10,ショ,N5,か.く,"thư đạo, thư tịch, thư kí"
週,CHU,SƯỚC【辷】,11,シュウ,N5,"",tuần
魚,NGƯ,NGƯ【魚】,11,ギョ,N5,さかな,cá
間,GIAN,MÔN【門】,12,カン、ケン,N5,あいだ、ま,"trung gian, không gian"
飲,ẨM,THỰC【食】,12,イン、オン,N5,の.む,ẩm thực
道,ĐẠO,SƯỚC【辷】,12,ドウ、トウ,N5,とう、みち,"đạo lộ, đạo đức, đạo lí"
買,MÃI,VÕNG【网】,12,バイ,N5,か.う,"mua, khuyến mãi"
話,THOẠI,NGÔN【言】,13,ワ,N5,はなし、はな.す,"nói chuyện, đối thoại, giai thoại"
新,TÂN,CÂN【斤】,13,シン,N5,あたら.しい、あら.た、にい-,"mới, cách tân, tân thời"
電,ĐIỆN,VŨ【雨】,13,デン,N5,"","phát điện, điện lực"
駅,DỊCH,MÃ【馬】,14,エキ,N5,"",ga
語,NGỮ,NGÔN【言】,14,ゴ,N5,かた.る、かた.らう,"ngôn ngữ, từ ngữ"
読,ĐỘC,NGÔN【言】,14,ドク、トク、トウ,N5,よ.む,"độc giả, độc thư"
聞,VĂN,MÔN【門】,14,ブン、モン,N5,き.く、き.こえる,"nghe, tân văn (báo)"
力,LỰC,LỰC【力】,2,リョク、リキ、リイ,N4,ちから,sức lực
夕,TỊCH,TỊCH【夕】,3,セキ,N4,ゆう,tịch dương
工,CÔNG,CÔNG【工】,3,コウ、ク、グ,N4,"","công tác, công nhân"
元,NGUYÊN,NHỊ【二】,4,ゲン、ガン,N4,もと,gốc
止,CHỈ,CHỈ【止】,4,シ,N4,とま.る、と.める、や.める,đình chỉ
引,DẪN,CUNG【弓】,4,イン,N4,ひ.く、ひ.ける,dẫn hỏa
牛,NGƯU,NGƯU【牛】,4,ギュウ,N4,うし、うじ、ご,con trâu
区,KHU,PHƯƠNG【匚　匸 】,4,ク、オウ、コウ,N4,"","khu vực, địa khu"
犬,KHUYỂN,KHUYỂN【犬】,4,ケン,N4,いぬ,con chó
不,BẤT,NHẤT【一】,4,フ、ブ,N4,"","bất công, bất bình đẳng, bất tài"
文,VĂN,VĂN【文】,4,ブン、モン,N4,ふみ,"văn chương, văn học"
方,PHƯƠNG,PHƯƠNG【方】,4,ホウ,N4,かた,"phương hướng, phương pháp"
心,TÂM,TÂM【心】,4,シン,N4,こころ,"tâm lí, nội tâm"
切,THIẾT,ĐAO【刀】,4,セツ、サイ,N4,さい、き.る,"cắt, thiết thực, thân thiết"
太,THÁI,ĐẠI【大】,4,タイ、タ,N4,た、ふと.い、ふと.る,"thái dương, thái bình"
代,ĐẠI,NHÂN【人】,5,ダイ、タイ,N4,たい、か.わる、か.える、よ、しろ,"đại biểu, thời đại, đại diện, đại thế"
台,ĐÀI,KHƯ【厶】,5,ダイ、タイ,N4,うてな、われ、つかさ,"lâu đài, đài"
世,THẾ,CỔN【丨】,5,セイ、セ、ソウ,N4,よ,"thế giới, thế gian, thế sự"
正,CHÍNH,NHẤT【一】,5,セイ、ショウ,N4,ただ.しい、ただ.す、まさ.に,"chính đáng, chính nghĩa, chân chính"
田,ĐIỀN,ĐIỀN【田】,5,デン,N4,た,"điền viên, tá điền"
冬,ĐÔNG,TRUY【夂】,5,トウ,N4,ふゆ,mùa đông
民,DÂN,NHẤT【一】,5,ミン,N4,たみ,"quốc dân, dân tộc"
用,DỤNG,DỤNG【用】,5,ヨウ,N4,もち.いる,"sử dụng, dụng cụ, công dụng"
兄,HUYNH,KHẨU【口】,5,ケイ、キョウ,N4,あに,phụ huynh
以,DĨ,NHÂN【人】,5,イ,N4,"","dĩ tiền, dĩ vãng"
去,KHỨ,THỔ【土】,5,キョ、コ,N4,さ.る,"quá khứ, trừ khử"
仕,SĨ,NHÂN【人】,5,シ、ジ,N4,つか.える,làm việc
市,THỊ,ĐẦU【亠】,5,シ,N4,いち,"thành thị, thị trường"
広,QUẢNG,NGHIỄM【广】,5,コウ,N4,ひろ.い、ひろ.まる、ひろ.める、ひろ.がる、ひろ.げる,"quảng trường, quảng đại"
主,CHỦ,ĐẦU【亠】,5,シュ、ス、シュウ,N4,ぬし、おも,"chủ yếu, chủ nhân"
写,TẢ,MỊCH【冖】,5,シャ、ジャ,N4,うつ.す、うつ.る、うつ-、うつ.し,miêu tả
字,TỰ,MIÊN【宀】,6,ジ,N4,あざ,"chữ, văn tự"
自,TỰ,TỰ【自】,6,ジ、シ,N4,みずか.ら,"tự do, tự kỉ, tự thân"
考,KHẢO,LÃO【老】,6,コウ,N4,かんが.える,"khảo sát, tư khảo"
合,"HỢP,CÁP",NHÂN【人】,6,ゴウ、ガッ、カッ,N4,あ.う、あ.わせる、あ.わす,"thích hợp, hội họp, hợp lí"
光,QUANG,TIỂU【小】,6,コウ,N4,ひかり、ひか.る,"ánh sáng, nhật quang, quang minh"
好,HẢO,NỮ【女】,6,コウ,N4,この.む、す.く,"""hữu hảo; hiếu sắc"""
死,TỬ,NGẠT【歹】,6,シ,N4,し.ぬ,"tử thi, tự tử"
回,HỒI,VI【囗】,6,カイ、エ,N4,まわ.る、まわ.す、もとお.る、か.える,"vu hồi, chương hồi"
有,HỮU,NHỤC【肉　月】,6,ユウ、ウ,N4,あ.る,"sở hữu, hữu hạn"
同,ĐỒNG,QUYNH【冂】,6,ドウ,N4,おな.じ,"đồng nhất, tương đồng"
肉,NHỤC,NHỤC【肉　月】,6,ニク,N4,"",thịt
色,SẮC,SẮC【色】,6,ショク、シキ,N4,しき、いろ,"màu sắc, sắc dục"
早,TẢO,NHẬT【日】,6,ソウ、サッ,N4,はや.い、はや.まる、はや.める,"sớm, tảo hôn"
地,ĐỊA,THỔ【土】,6,チ、ジ,N4,"","thổ địa, địa đạo"
池,TRÌ,THỦY【水】,6,チ,N4,いけ,cái ao
村,THÔN,MỘC【木】,7,ソン,N4,むら,"thôn xã, thôn làng"
体,THỂ,NHÂN【人】,7,タイ、テイ,N4,からだ,"hình thể, thân thể, thể thao"
町,ĐINH,ĐIỀN【田】,7,チョウ,N4,まち,khu phố
低,ĐÊ,NHÂN【人】,7,テイ,N4,ひく.い、ひく.める/まる,"thấp, đê hèn, đê tiện"
弟,ĐỆ,BÁT【八】,7,テイ、ダイ、デ,N4,おとうと,đệ tử
走,TẨU,TẨU【走】,7,ソウ,N4,はし.る,chạy
赤,XÍCH,XÍCH【赤】,7,セキ、シャク,N4,あか.い、あか、あか.らむ、あか.らめる,"đỏ, xích kì, xích đạo, xích thập tự"
図,ĐỒ,VI【囗】,7,ズ、ト,N4,と、はか.る,"bản đồ, đồ án, địa đồ"
究,CỨU,HUYỆT【穴】,7,キュウ、ク,N4,きわ.める,"nghiên cứu, cứu cánh"
声,THANH,THỔ【土】,7,セイ、ショウ,N4,こえ、こわ,"âm thanh, thanh điệu"
売,MẠI,THỔ【土】,7,バイ,N4,う.る、う.れる,thương mại
別,BIỆT,ĐAO【刀】,7,ベツ,N4,わか.れる,"biệt li, đặc biệt, tạm biệt"
医,Y,PHƯƠNG【匚　匸 】,7,イ,N4,"","y học, y viện"
近,CẬN,SƯỚC【辷】,7,キン、コン,N4,ちか.い,"thân cận, cận thị, cận cảnh"
私,TƯ,HÒA【禾】,7,シ,N4,わたし、わたくし,"tư nhân, công tư, tư lợi"
作,TÁC,NHÂN【人】,7,サク、サ,N4,つく.る、な.す、す.る、な.る、お.きる、おこ.る,"tác phẩm, công tác, canh tác"
住,"TRÚ,TRỤ",NHÂN【人】,7,ジュウ、ヂュウ、チュウ,N4,す.む/まう,"""cư trú; trụ sở"""
者,GIẢ,LÃO【老】,8,シャ,N4,もの,"học giả, tác giả"
事,SỰ,QUYẾT【亅】,8,ジ、ズ,N4,こと,sự việc
使,"SỬ,SỨ",NHÂN【人】,8,シ,N4,つか.う,"""sử dụng; sứ giả, thiên sứ"""
始,THỦY,NỮ【女】,8,シ,N4,はじ.める/める,"ban đầu, khai thủy, nguyên thủy"
姉,"TỶ,TỈ",NỮ【女】,8,シ,N4,あね,chị gái
英,ANH,THẢO【艸】,8,エイ,N4,"","anh hùng, anh tú, anh tuấn"
京,KINH,ĐẦU【亠】,8,キョウ、ケイ、キン,N4,"","kinh đô, kinh thành"
画,"HỌA,HOẠCH",NHẤT【一】,8,ガ、カク、エ、カイ,N4,が、かく,"""họa sĩ; kế hoạch"""
妹,MUỘI,NỮ【女】,8,マイ,N4,いもうと,em gái
味,VỊ,KHẨU【口】,8,ミ,N4,あじ、あじ.わう,"vị giác, mùi vị"
服,PHỤC,NHỤC【肉　月】,8,フク,N4,"","y phục, cảm phục, phục vụ"
物,VẬT,NGƯU【牛】,8,ブツ、モツ,N4,もの,động vật
歩,BỘ,CHỈ【止】,8,ホ、ブ、フ,N4,ある.く、あゆ.む、あゆ.み、はか.る、 như 浦ぶ、ふ,"bộ hành, tiến bộ"
門,MÔN,MÔN【門】,8,モン,N4,かど,"cửa, nhập môn, môn đồ, bộ môn"
夜,DẠ,ĐẦU【亠】,8,ヤ,N4,よる、よ,"ban đêm, dạ cảnh, dạ quang"
明,MINH,NHẬT【日】,8,メイ、ミョウ、ミン,N4,みょう、あ.かり、あか.るい、あき.らか、あ.ける、あか.るむ／らむ、あ.く、あ.かす、あ.くる,"quang minh, minh tinh"
林,LÂM,MỘC【木】,8,リン,N4,はやし,"lâm sản, lâm nghiệp"
青,THANH,THANH【青】,8,セイ、ショウ,N4,あお.い、あお,"xanh, thanh thiên, thanh niên"
所,SỞ,HỘ【戸】,8,ショ,N4,ところ,trụ sở
注,CHÚ,THỦY【水】,8,チュウ,N4,そそ.ぐ,"chú ý, chú thích"
知,TRI,THỈ【矢】,8,チ,N4,し.る,"tri thức, tri giác"
昼,TRÚ,NHẤT【一】,9,チュウ,N4,ひる,buổi trưa
茶,TRÀ,THẢO【艸】,9,チャ、サ,N4,"",trà
待,ĐÃI,SÁCH【彳】,9,タイ,N4,ま.つ,"đợi, đối đãi"
洗,TẨY,THỦY【水】,9,セン,N4,あら.う,rửa
送,TỐNG,SƯỚC【辷】,9,ソウ,N4,おく.る,"tiễn, tống tiễn, tống đạt"
品,PHẨM,KHẨU【口】,9,ヒン、ホン,N4,しな,sản phẩm
洋,DƯƠNG,THỦY【水】,9,ヨウ,N4,"","đại dương, tây dương"
便,TIỆN,NHÂN【人】,9,ベン、ビン,N4,びん、たよ.り,thuận tiện
風,PHONG,PHONG【風】,9,フウ、フ,N4,かぜ　.かざ,"phong ba, phong cách, phong tục"
発,PHÁT,BÁT【癶】,9,ハツ、ホツ,N4,"","xuất phát, phát kiến, phát hiện, phát ngôn"
度,ĐỘ,NGHIỄM【广】,9,ド、ト、タク,N4,たび,"mức độ, quá độ, độ lượng"
映,"ẢNH,ÁNH",NHẬT【日】,9,エイ,N4,うつ.す、うつ.る、は.える,phản ánh
海,HẢI,THỦY【水】,9,カイ,N4,うみ,"hải cảng, hải phận"
界,CõiĐời,ĐIỀN【田】,9,カイ,N4,"","thế giới, giới hạn, địa giới"
屋,ỐC,THI【尸】,9,オク,N4,や,phòng ốc
音,ÂM,ÂM【音】,9,オン、-ノン、イン,N4,おと、ね,"âm thanh, phát âm"
急,CẤP,TÂM【心】,9,キュウ,N4,いそ.ぐ,"khẩn cấp, cấp cứu"
計,KẾ,NGÔN【言】,9,ケイ,N4,はか.る、はか.らう,"""thống kê; kế hoạch, kế toán"""
建,KIẾN,DÃN【廴】,9,ケン、コン,N4,た.れる、た.つ,"kiến thiết, kiến tạo"
研,NGHIÊN,THẠCH【石】,9,ケン,N4,と.ぐ,"mài, nghiên cứu"
県,HUYỆN,TIỂU【小】,9,ケン,N4,"","huyện, tỉnh"
思,TƯ,ĐIỀN【田】,9,シ,N4,おも.う,"nghĩ, suy tư, tư tưởng, tư duy"
乗,THỪA,PHIỆT【丿】,9,ジョウ、ショウ,N4,の.る、の.せる,lên xe
重,"TRỌNG,TRÙNG",PHIỆT【丿】,9,ジュウ、チョウ,N4,おも.い、かさ.なる／ねる、－え,"""trọng lượng; trùng phùng"""
春,XUÂN,NHẬT【日】,9,シュン,N4,はる,"mùa xuân, thanh xuân"
室,THẤT,MIÊN【宀】,9,シツ,N4,むろ,"phòng, giáo thất"
持,TRÌ,THỦ【手】,9,ジ,N4,も.つ,"cầm, duy trì"
首,THỦ,THỦ【首】,9,シュ,N4,くび,"đầu, cổ, thủ tướng"
秋,THU,HÒA【禾】,9,シュウ,N4,あき,mùa thu
借,TÁ,NHÂN【人】,10,シャク,N4,か.りる,"mượn, tá điền"
弱,NHƯỢC,BĂNG【冫】,10,ジャク,N4,よわ.い、よわ.る／まる、よわ.める,"nhược điểm, nhược tiểu"
紙,CHỈ,MỊCH【糸】,10,シ,N4,かみ,giấy
帰,"QUY,QUI",KÝ【ヨ】,10,キ,N4,かえ.る、かえ.す,hồi quy
起,KHỞI,TẨU【走】,10,キ,N4,お.きる、お.くる、お.こす,"khởi động, khởi sự, khởi nghĩa"
夏,HẠ,NHẤT【一】,10,カ、ガ、ゲ,N4,なつ,mùa hè
家,GIA,MIÊN【宀】,10,カ、ケ,N4,いえ、や,"gia đình, chuyên gia"
院,VIỆN,PHỤ【阜】,10,イン,N4,"","học viện, y viện"
員,VIÊN,KHẨU【口】,10,イン,N4,"","thành viên, nhân viên"
病,BỆNH,NẠNH【疒】,10,ビョウ、ヘイ,N4,や.む、やまい,"bệnh nhân, bệnh viện, bệnh tật"
勉,MIỄN,PHIỆT【丿】,10,ベン,N4,"","miễn cưỡng, cần miễn"
特,ĐẶC,NGƯU【牛】,10,トク,N4,"","đặc biệt, đặc công"
旅,LỮ,PHƯƠNG【方】,10,リョ,N4,たび,"lữ hành, lữ khách"
料,LIỆU,MỄ【米】,10,リョウ,N4,"","nguyên liệu, tài liệu, nhiên liệu"
真,CHÂN,THẬP【十】,10,シン,N4,ま,"chân lí, chân thực"
通,THÔNG,SƯỚC【辷】,10,ツウ、ツ,N4,つ、とう.る、とう.す、かよ.う、とう.り,"thông qua, thông hành, phổ thông"
鳥,ĐIỂU,ĐIỂU【鳥】,11,チョウ,N4,とり,chim chóc
転,CHUYỂN,XA【車】,11,テン,N4,ころ.ぶ/がる/げる、ころ.がす,chuyển động
族,TỘC,PHƯƠNG【方】,11,ゾク,N4,"","gia tộc, dân tộc, chủng tộc"
進,"TIẾN,TẤN",SƯỚC【辷】,11,シン,N4,すす.む、すす.める,"thăng tiến, tiền tiến, tiến lên"
理,LÝ,NGỌC【玉、王】,11,リ,N4,"","lí do, lí luận, nguyên lí"
野,DÃ,LÝ【里】,11,ヤ、ショ,N4,の,"cánh đồng, hoang dã, thôn dã"
問,VẤN,MÔN【門】,11,モン,N4,と.い、とん、と.う,"vấn đáp, chất vấn, vấn đề"
都,ĐÔ,ẤP【邑】,11,ト、ツ,N4,みやこ,"đô thị, đô thành"
堂,ĐƯỜNG,TIỂU【小】,11,ドウ,N4,"","thực đường, thiên đường"
動,ĐỘNG,LỰC【力】,11,ドウ,N4,うご.く、うご.かす,"hoạt động, chuyển động"
悪,ÁC,NHẤT【一】,11,アク、オ,N4,わる.い,"""hung ác, độc ác; tăng ố"""
強,CƯỜNG,CUNG【弓】,11,キョウ、ゴウ,N4,つよ.い、つよ.まる、つよ.める、し.いる,"""cường quốc; miễn cưỡng"""
教,GIÁO,PHỘC【攴　攵】,11,キョウ,N4,おし.える、おそ.わる,"giáo dục, giáo viên"
産,SẢN,LẬP【立】,11,サン,N4,う.む、う.まれる、うぶ,"sản xuất, sinh sản, cộng sản"
黒,HẮC,HẮC【黒】,11,コク,N4,くろい、くろ,"đen, hắc ám"
菜,THÁI,THẢO【艸】,11,サイ,N4,な,rau
終,CHUNG,MỊCH【糸】,11,シュウ,N4,お.わる/える,"chung kết, chung liễu"
習,TẬP,VŨ【羽】,11,シュウ、ジュ,N4,なら.う,học tập
集,TẬP,CHUY【隹】,12,シュウ,N4,あつ.まる/める、つど.う,"tập hợp, tụ tập"
場,TRƯỜNG,THỔ【土】,12,ジョウ、チョウ,N4,ば,"hội trường, quảng trường"
寒,HÀN,MIÊN【宀】,12,カン,N4,さむ.い,lạnh
軽,KHINH,XA【車】,12,ケイ,N4,かる.い、かろ.やか,"khinh suất, khinh khi"
運,VẬN,SƯỚC【辷】,12,ウン,N4,はこ.ぶ,"vận chuyển, vận mệnh"
開,KHAI,MÔN【門】,12,カイ,N4,あ.く・ける、ひら.ける、ひら.く,"khai mạc, khai giảng"
飯,PHẠN,THỰC【食】,12,ハン,N4,めし,cơm
答,ĐÁP,TRÚC【竹】,12,トウ,N4,こた.え、こた.える,"trả lời, vấn đáp, đáp ứng"
森,SÂM,MỘC【木】,12,シン,N4,もり,rừng
暑,THỬ,NHẬT【日】,12,ショ,N4,あつ.い,hè nóng
朝,"TRIỀU,TRIÊU",NHỤC【肉　月】,12,チョウ,N4,あさ,"buổi sáng, triều đình"
貸,THẢI,BỐI【貝】,12,タイ,N4,か.す,cho mượn
着,TRƯỚC,DƯƠNG【羊】,12,チャク、ジャク,N4,き.る、つ.ける、き.せる、つ.く,"đến, đáo trước, mặc"
短,ĐOẢN,THỈ【矢】,12,タン,N4,みじか.い,"đoản mệnh, sở đoản"
働,ĐỘNG,NHÂN【人】,13,ドウ、リュク、リキ、ロク、リョク,N4,はたら.く,lao động
楽,"LẠC,NHẠC",MỘC【木】,13,ガク、ラク、ゴウ,N4,らく、たの.しむ、たの.しい,"an lạc, lạc thú, âm nhạc"
暗,ÁM,NHẬT【日】,13,アン,N4,くら.い,ám sát
意,Ý,ÂM【音】,13,イ,N4,"","ý nghĩa, ý thức, ý kiến, chú ý"
遠,VIỄN,SƯỚC【辷】,13,エン、オン,N4,とお.い,"viễn phương, vĩnh viễn"
漢,HÁN,THỦY【水】,13,カン,N4,"",hảo hán
業,NGHIỆP,CHỦ【丶】,13,ギョウ、ゴウ,N4,ぎょう、ごう、わざ,"nghề nghiệp, công nghiệp, sự nghiệp"
試,THÍ,NGÔN【言】,13,シ,N4,こころ.みる、ため.す,"thí nghiệm, thí điểm"
銀,NGÂN,KIM【金】,14,ギン,N4,"","ngân hàng, ngân lượng, kim ngân"
歌,CA,KHIẾM【欠】,14,カ,N4,うた、うた.う,"ca dao, ca khúc"
説,THUYẾT,NGÔN【言】,14,セツ、ゼイ,N4,ぜい、と.く,"tiểu thuyết, học thuyết, lí thuyết"
質,CHẤT,BỐI【貝】,15,シツ、シチ、チ,N4,しち、ち,"vật chất, phẩm chất, khí chất"
